OBJECTID,Latitude,Longitude,Projection_y_coordinate,Projection_x_coordinate,HSD baseline 1981-2000 lower,HSD baseline 1981-2000 median,HSD baseline 1981-2000 upper,HSD baseline 2001-2020 lower,HSD baseline 2001-2020 median,HSD baseline 2001-2020 upper,HSD 1.5°C lower,HSD 1.5°C median,HSD 1.5°C upper,HSD 2°C lower,HSD 2°C median,HSD 2°C upper,HSD 2.5°C lower,HSD 2.5°C median,HSD 2.5°C upper,HSD 3°C lower,HSD 3°C median,HSD 3°C upper,HSD 4°C lower,HSD 4°C median,HSD 4°C upper,Shape__Area,Shape__Length
591,52.31937,-0.56364,270000,498000,1.4,1.6,1.8,3.8,4.6,7,4.6,5.7,10.4,6.1,9.3,12.9,8.4,12,16,13,15.6,23.5,20.4,25.5,36.1,384951836.778625,78480.848795756
592,52.3171,-0.38765,270000,510000,1.3,1.4,1.6,3.4,4.4,6.6,4.4,5.3,10,5.9,8.6,12.5,7.9,11.6,15,12.4,15.3,22.8,19.9,24.6,35.3,384894005.782486,78474.9540292059
593,52.31456,-0.21169,270000,522000,1.4,1.6,2,3.6,4.8,7.2,4.6,5.5,10.8,6.5,9.4,13,8.7,12.1,16.1,13.3,16.1,24,21.1,25.3,37.2,384824174.970703,78467.8350788003
594,52.31177,-0.03576,270000,534000,1.8,2,2.2,4.4,5.1,8.2,5,6.2,11.9,7,10.5,13.9,9,12.8,17.6,13.8,17,25.7,22.6,27,39,384749864.740051,78460.2579524625
595,52.30871,0.14014,270000,546000,1.6,1.9,2.2,4,5.1,8,4.7,6,11.7,7,10.5,13.5,9.1,12.7,17.6,13.7,17.1,25.8,22.6,27.1,38.4,384656899.822895,78450.7792824808
596,52.30539,0.31601,270000,558000,1.6,1.8,2,3.9,5.1,7.8,4.5,6,11.6,6.9,10.2,13.4,9.2,12.7,18,13.7,17.3,26.2,22.8,27,38.7,384562071.980713,78441.1091501264
597,52.30182,0.49184,270000,570000,1.4,1.6,1.8,3.2,4.6,7.2,4,5.4,10.8,5.8,9.2,12.4,8.6,11.9,16.5,12.2,16.3,24.5,21.5,25.2,37.4,384466453.421844,78431.3558738914
598,52.29797,0.66763,270000,582000,1.2,1.4,1.6,3,4.1,6.6,3.6,5.2,9.7,5.4,8.5,11.3,7.8,10.7,15.4,11.3,14.7,23.1,19.5,24.1,35.5,384361953.615814,78420.6970835077
599,52.29387,0.84339,270000,594000,1,1.1,1.4,2.6,3.9,6.3,3.1,4.9,9.8,5,8.4,11.2,7.4,10.5,14.8,10.8,14,22.5,19.1,23.2,34.4,384252367.033691,78409.5160897106
600,52.28951,1.0191,270000,606000,0.6,0.7,1,2.4,3,5.2,2.7,4.2,8.7,4,7,10.4,6.1,9.4,13.9,9.7,12.9,20.6,17.3,21.5,33.1,384121039.642578,78396.1173068772
